## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.industry_rank,entity.industry,entity.numberofemployees,entity.companyheadquarters,entity.marketsite,entity.product,entity.custom8,entity.custom9,entity.custom10,entity.employee_range
casestudy_honda-new-zealand,honda-new-zealand,casestudy, ,https://www.concur.com.au/sites/default/files/au/honda.jpg, ,https://www.concur.com.au/casestudy/honda-new-zealand, , , ,0,Other,240,Not Found,AU,Concur Expense,, , ,100 - 499
casestudy_bom,bom,casestudy, ,https://www.concur.com.au/sites/default/files/au/bom_logo.jpg, ,https://www.concur.com.au/casestudy/bom, , , ,0,Other,1500,Australia,AU,Concur Expense,, , ,"1,000 - 1,999"
casestudy_higher-education,higher-education,casestudy, ,https://www.concur.com.au/sites/default/files/au/highered_stories.jpg, ,https://www.concur.com.au/casestudy/higher-education, , , ,0,Other,3001,Australia,AU,Concur Travel,, , ,"3,000 - 5,999"
casestudy_public-sector,public-sector,casestudy, ,https://www.concur.com.au/sites/default/files/au/publicsector_stories.jpg, ,https://www.concur.com.au/casestudy/public-sector, , , ,0,Other,3000,Australia,AU,Concur Travel,, , ,"3,000 - 5,999"
casestudy_enterprise,enterprise,casestudy, ,https://www.concur.com.au/sites/default/files/au/enterprise_stories.jpg, ,https://www.concur.com.au/casestudy/enterprise, , , ,0,Other,3001,Australia,AU,Concur Travel,, , ,"3,000 - 5,999"
casestudy_ansto,ansto,casestudy, ,https://www.concur.com.au/sites/default/files/au/ansto-logo-stacked-with-tagline.jpg, ,https://www.concur.com.au/casestudy/ansto, , , ,0,Other,1500,Australia,AU,Concur Expense,, , ,"1,000 - 1,999"
casestudy_merck,merck,casestudy, ,https://www.concur.com.au/sites/default/files/au/merck_logo_logotype_1.jpeg, ,https://www.concur.com.au/casestudy/merck, , , ,0,Pharmaceuticals Manufacturing,65000,"Rahway, NJ",AU,Concur Expense,, , ,"> 50,000"
casestudy_acquis-consulting-group,acquis-consulting-group,casestudy, ,https://www.concur.com.au/sites/default/files/au/acquis_1_1.jpeg, ,https://www.concur.com.au/casestudy/acquis-consulting-group, , , ,1,Professional Services,125,"New York, NY",AU,Concur Invoice,, , ,100 - 499
casestudy_pwc,pwc,casestudy, ,https://www.concur.com.au/sites/default/files/au/84b7d31a-4bb9-4c2b-a962-494b29b36976.jpg, ,https://www.concur.com.au/casestudy/pwc, , , ,1,Professional Services,284000,Germany,AU,Concur Expense,, , ,"> 50,000"
casestudy_cisco-systems,cisco-systems,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/new-cisco-logo-png-1.png, ,https://www.concur.com.au/casestudy/cisco-systems, , , ,1,Professional Services,50001,"San Jose, CA",AU,Concur Travel,, , ,"> 50,000"
