## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.blogType,entity.industry,entity.numberofemployees,entity.companyheadquarters,entity.marketsite,entity.custom7,entity.employee_range,entity.custom9,entity.custom10
casestudy_siemens,siemens, , ,https://www.concur.ca/sites/default/files/ca/siemens_logo.jpeg, ,https://www.concur.ca/casestudy/siemens, , , , ,Manufacturing,290000,"Berlin, Germany",CA, ,"> 50,000", , 
casestudy_serco,serco, , ,https://www.concur.ca/sites/default/files/ca/serco_ltd.png, ,https://www.concur.ca/casestudy/serco, , , , ,Government,50000,"Hook, Hampshire, England",CA, ,"> 50,000", , 
casestudy_barclays,barclays, , ,https://www.concur.ca/sites/default/files/ca/barclays_logo.png, ,https://www.concur.ca/casestudy/barclays, , , , ,Financial,80000,"London, UK",CA, ,"> 50,000", , 
casestudy_caf-america,caf-america, , ,https://www.concur.ca/sites/default/files/ca/caf_logo.png, ,https://www.concur.ca/casestudy/caf-america, , , , ,Non-Profit,78,"Alexandria, Virginia",CA, ,50 - 99, , 
casestudy_bishop-wisecarver,bishop-wisecarver, , ,https://www.concur.ca/sites/default/files/ca/bishopwisecarver_logo.jpg, ,https://www.concur.ca/casestudy/bishop-wisecarver, , , , ,Manufacturing,75,"Pittsburg, CA",CA, ,50 - 99, , 
casestudy_canaccord-genuity,canaccord-genuity, , ,https://www.concur.ca/sites/default/files/ca/canaccord_genuity_2018.jpg, ,https://www.concur.ca/casestudy/canaccord-genuity, , , , ,Financial,900,"Vancouver, British Columbia",CA, ,750 - 999, , 
casestudy_morguard-0,morguard-0, , ,https://www.concur.ca/sites/default/files/ca/morguard-logo.jpg, ,https://www.concur.ca/casestudy/morguard-0, , , , ,Real Estate,1500,"Mississauga, ON",CA, ,"1,000 - 1,999", , 
casestudy_imp-group-0,imp-group-0, , ,https://www.concur.ca/sites/default/files/ca/screen_shot_2019-08-28_at_6.22.12_pm.png, ,https://www.concur.ca/casestudy/imp-group-0, , , , ,Professional Services,3000,"Halifax, Nouvelle Écosse",CA, ,"3,000 - 5,999", , 
casestudy_four-seasons,four-seasons, , ,https://www.concur.ca/sites/default/files/ca/four_seasons_logo.png, ,https://www.concur.ca/casestudy/four-seasons, , , , ,Hospitality,50001,"Toronto, Ontario",CA, ,"> 50,000", , 
casestudy_abm-integrated-solutions-0,abm-integrated-solutions-0, , ,https://www.concur.ca/sites/default/files/ca/abm_logo_0.png, ,https://www.concur.ca/casestudy/abm-integrated-solutions-0, , , , ,Professional Services,150,"Dartmouth, Nova Scotia",CA, ,100 - 499, , 
casestudy_chez-sleep-country-lefficacite-ne-dort-jamais,chez-sleep-country-lefficacite-ne-dort-jamais, , ,https://www.concur.ca/sites/default/files/ca/sleep-country-logo.jpg, ,https://www.concur.ca/casestudy/chez-sleep-country-lefficacite-ne-dort-jamais, , , , ,Retail,1500,"Brampton, Ontario",CA, ,"1,000 - 1,999", , 
casestudy_business-development-bank-canada,business-development-bank-canada, , ,https://www.concur.ca/sites/default/files/ca/bdc_logo.jpg, ,https://www.concur.ca/casestudy/business-development-bank-canada, , , , ,Financial,2200,"Montreal, Quebec",CA, ,"2,000 - 2,999", , 
casestudy_imp-group,imp-group, , ,https://www.concur.ca/sites/default/files/ca/imp_group_logo.jpg, ,https://www.concur.ca/casestudy/imp-group, , , , ,Professional Services,3000,"Halifax, Nova Scotia",CA, ,"3,000 - 5,999", , 
casestudy_morguard,morguard, , ,https://www.concur.ca/sites/default/files/ca/morguard_logo_sm.png, ,https://www.concur.ca/casestudy/morguard, , , , ,Real Estate,1500,"Mississauga, Ontario",CA, ,"1,000 - 1,999", , 
casestudy_four-seasons-hotels-and-resorts,four-seasons-hotels-and-resorts, , ,https://www.concur.ca/sites/default/files/ca/fs_hotels_and_resorts_white_box_002.jpg, ,https://www.concur.ca/casestudy/four-seasons-hotels-and-resorts, , , , ,Hospitality,50001,"Toronto, Ontario",CA, ,"> 50,000", , 
casestudy_sleep-country-canada,sleep-country-canada, , ,https://www.concur.ca/sites/default/files/ca/sleep-country-logo-font.jpg, ,https://www.concur.ca/casestudy/sleep-country-canada, , , , ,Retail,1500,"Brampton, Ontario",CA, ,"1,000 - 1,999", , 
casestudy_abm-integrated-solutions,abm-integrated-solutions, , ,https://www.concur.ca/sites/default/files/ca/abm_logo.png, ,https://www.concur.ca/casestudy/abm-integrated-solutions, , , , ,Professional Services,150,"Dartmouth, Nova Scotia",CA, ,100 - 499, , 
