## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.blogType,entity.industry,entity.numberofemployees,entity.companyheadquarters,entity.marketsite,entity.product,entity.custom8,entity.custom9,entity.custom10
casestudy_victoria-university,victoria-university,casestudy, ,https://www.concur.com.au/sites/default/files/au/victoria_university_melb_aus_logo_master_k_8.18.51_am.png, ,https://www.concur.com.au/casestudy/victoria-university, , , , ,Education,3000,"Melbourne, Australia",AU,Concur Expense,,,
casestudy_ansto,ansto,casestudy, ,https://www.concur.com.au/sites/default/files/au/ansto-logo-stacked-with-tagline.jpg, ,https://www.concur.com.au/casestudy/ansto, , , , ,Other,1500,Australia,AU,Concur Expense,,,
casestudy_university-auckland,university-auckland,casestudy, ,https://www.concur.com.au/sites/default/files/au/auckland_university.png, ,https://www.concur.com.au/casestudy/university-auckland, , , , ,Education,5000,New Zealand,AU,Concur Expense,,,
casestudy_opteon,opteon,casestudy, ,https://www.concur.com.au/sites/default/files/au/opteon-logo.png, ,https://www.concur.com.au/casestudy/opteon, , , , ,Real Estate,550,Australia / New Zealand,AU,Concur Travel,,,
casestudy_findex,findex,casestudy, ,https://www.concur.com.au/sites/default/files/au/findex-logo.jpg, ,https://www.concur.com.au/casestudy/findex, , , , ,Business Services,3100,Australia,AU,Concur Travel,,,
casestudy_sap-runs-sap-concur,sap-runs-sap-concur,casestudy, ,https://www.concur.com.au/sites/default/files/au/2000px-sap_2011_logo.svg_.png, ,https://www.concur.com.au/casestudy/sap-runs-sap-concur, , , , ,Professional Services,91001,Germany,AU,Concur Travel,,,
casestudy_ibm,ibm,casestudy, ,https://www.concur.com.au/sites/default/files/au/ibm_png19658.png, ,https://www.concur.com.au/casestudy/ibm, , , , ,Professional Services,"400,000",New York,AU,Concur Travel,,,
casestudy_jpmorgan-chase,jpmorgan-chase,casestudy, ,https://www.concur.com.au/sites/default/files/au/jpmorgan.jpeg, ,https://www.concur.com.au/casestudy/jpmorgan-chase, , , , ,Financial Services,"250,000",New York,AU,Concur Expense,,,
casestudy_tait,tait,casestudy, ,https://www.concur.com.au/sites/default/files/au/tait_logo_original_grey-blue_rgb.jpg, ,https://www.concur.com.au/casestudy/tait, , , , ,Professional Services,700,"New Zealand, Australia, Singapore, United States, Canada, Brazil, Austria, France, Germany and the UK",AU,Concur Expense,,,
casestudy_tax-institute,tax-institute,casestudy, ,https://www.concur.com.au/sites/default/files/au/tax_institute.high_.jpg, ,https://www.concur.com.au/casestudy/tax-institute, , , , ,Business Services,70,"Sydney, Australia",AU,Concur Expense,,,
casestudy_automotive-holdings-group,automotive-holdings-group,casestudy, ,https://www.concur.com.au/sites/default/files/au/ahg.png, ,https://www.concur.com.au/casestudy/automotive-holdings-group, , , , ,Retail,"7,400",Australia and New Zealand,AU,Concur Expense,,,
casestudy_southern-cross-university,southern-cross-university,casestudy, ,https://www.concur.com.au/sites/default/files/au/_scu.png, ,https://www.concur.com.au/casestudy/southern-cross-university, , , , ,Education,850,Australia,AU,Concur Expense,,,
casestudy_studygroup,studygroup,casestudy, ,https://www.concur.com.au/sites/default/files/au/study_group_logo.jpg, ,https://www.concur.com.au/casestudy/studygroup, , , , ,Education,1300,Australia,AU,Audit,,,
casestudy_cook-medical,cook-medical,casestudy, ,https://www.concur.com.au/sites/default/files/au/cm_rgb.jpg, ,https://www.concur.com.au/casestudy/cook-medical, , , , ,Healthcare,1300,Australia,AU,Concur Expense,,,
casestudy_boc,boc,casestudy, ,https://www.concur.com.au/sites/default/files/au/screen_shot_2015-10-01_at_2.29.27_pm.png, ,https://www.concur.com.au/casestudy/boc, , , , ,Energy and Utilities,1500,Australia and New Zealand,AU,Concur Expense,,,
casestudy_lonsec-fiscal,lonsec-fiscal,casestudy, ,https://www.concur.com.au/sites/default/files/au/lonsec_fiscal.jpg, ,https://www.concur.com.au/casestudy/lonsec-fiscal, , , , ,Financial Services,110,Australia,AU,Concur Travel,,,
casestudy_vocus,vocus,casestudy, ,https://www.concur.com.au/sites/default/files/au/vocus_0.png, ,https://www.concur.com.au/casestudy/vocus, , , , ,Telecommunications Services,125,"Sydney, Australia",AU,Concur Expense,,,
casestudy_kelloggs,kelloggs,casestudy, ,https://www.concur.com.au/sites/default/files/au/logo_kellogg_au.png, ,https://www.concur.com.au/casestudy/kelloggs, , , , ,Consumer Products Manufacturers,"31,000","Manchester, United Kingdom",AU,Concur Travel,,,
casestudy_texas-peak,texas-peak,casestudy, ,https://www.concur.com.au/sites/default/files/au/texaspeak_logo.png, ,https://www.concur.com.au/casestudy/texas-peak, , , , ,Retail,200,"Melbourne, Australia",AU,Concur Expense,,,
