## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.blogType,entity.numberofemployees,entity.companyheadquarters,entity.product,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10
casestudy_architectural-engineering-firm-csrs-and-app-center-partner-fullsail-partners,architectural-engineering-firm-csrs-and-app-center-partner-fullsail-partners,casestudy, ,https://www.concur.com/sites/default/files/csrs_logo.jpg, ,https://www.concur.com/en-us/casestudy/architectural-engineering-firm-csrs-and-app-center-partner-fullsail-partners, , , , ,129,"Baton Rouge, Louisiana",Concur Expense, , , , , 
casestudy_rochester-city-school-district-automates-travel-expense-and-invoice-management,rochester-city-school-district-automates-travel-expense-and-invoice-management,casestudy, ,https://www.concur.com/sites/default/files/rcsd3.png, ,https://www.concur.com/en-us/casestudy/rochester-city-school-district-automates-travel-expense-and-invoice-management, , , , ,"6,000","Rochester, New York",Concur Expense, , , , , 
casestudy_red-gains-insights-visibility-travel-and-expense,red-gains-insights-visibility-travel-and-expense,casestudy, ,https://www.concur.com/sites/default/files/red.png, ,https://www.concur.com/en-us/casestudy/red-gains-insights-visibility-travel-and-expense, , , , ,0,Not Found,Concur Travel, , , , , 
casestudy_alteryx-saves-time-simplifies-travel-and-expense-sap-concur,alteryx-saves-time-simplifies-travel-and-expense-sap-concur,casestudy, ,https://www.concur.com/sites/default/files/alteryx.png, ,https://www.concur.com/en-us/casestudy/alteryx-saves-time-simplifies-travel-and-expense-sap-concur, , , , ,0,Not Found,Concur Travel, , , , , 
casestudy_nec-achieves-cost-savings-and-compliance,nec-achieves-cost-savings-and-compliance,casestudy, ,https://www.concur.com/sites/default/files/nec.png, ,https://www.concur.com/en-us/casestudy/nec-achieves-cost-savings-and-compliance, , , , ,0,Not Found,Concur Travel, , , , , 
casestudy_barton-malow-empowers-mobile-workforce,barton-malow-empowers-mobile-workforce,casestudy, ,https://www.concur.com/sites/default/files/barton_malow.png, ,https://www.concur.com/en-us/casestudy/barton-malow-empowers-mobile-workforce, , , , ,0,Not Found,Concur Expense, , , , , 
casestudy_madison-logic-inc,madison-logic-inc,casestudy, ,https://www.concur.com/sites/default/files/madisonlogiclogo.png, ,https://www.concur.com/en-us/casestudy/madison-logic-inc, , , , ,150,"New York, NY",Concur Expense, , , , , 
casestudy_george-washington-university,george-washington-university,casestudy, ,https://www.concur.com/sites/default/files/gw_logo_0.jpg, ,https://www.concur.com/en-us/casestudy/george-washington-university, , , , ,10001,"Washington DC, United States and global campuses",Concur Expense, , , , , 
casestudy_discovery-inc,discovery-inc,casestudy, ,https://www.concur.com/sites/default/files/logo.jpg, ,https://www.concur.com/en-us/casestudy/discovery-inc, , , , ,5001,New York - HQ and global offices,Concur Expense, , , , , 
casestudy_gonzaga-university,gonzaga-university,casestudy, ,https://www.concur.com/sites/default/files/gonzaga_logo.png, ,https://www.concur.com/en-us/casestudy/gonzaga-university, , , , ,"1,133","Spokane, WA",Concur Expense, , , , , 
casestudy_agribank,agribank,casestudy, ,https://www.concur.com/sites/default/files/agribank-logo.png, ,https://www.concur.com/en-us/casestudy/agribank, , , , ,"13,000","St. Paul, Minnesota",Concur Expense, , , , , 
casestudy_pall-corporation,pall-corporation,casestudy, ,https://www.concur.com/sites/default/files/pall_corporation_logo.png, ,https://www.concur.com/en-us/casestudy/pall-corporation, , , , ,"9,500","Port Washington, NY",Concur Travel, , , , , 
casestudy_atricure-inc,atricure-inc,casestudy, ,https://www.concur.com/sites/default/files/atricure_logo_1-color_rbg_010218_002.png, ,https://www.concur.com/en-us/casestudy/atricure-inc, , , , ,100,"Mason, OH",Concur Travel, , , , , 
casestudy_world-travel-bcd,world-travel-bcd,casestudy, ,https://www.concur.com/sites/default/files/wts-forwebsite.jpg, ,https://www.concur.com/en-us/casestudy/world-travel-bcd, , , , ,130,"Knoxville, TN",Concur Expense, , , , , 
casestudy_conference-board,conference-board,casestudy, ,https://www.concur.com/sites/default/files/tcb-logo-blue-4c_transparent.png, ,https://www.concur.com/en-us/casestudy/conference-board, , , , ,153,"New York, NY",Concur Expense, , , , , 
casestudy_asahi-kasei-plastics,asahi-kasei-plastics,casestudy, ,https://www.concur.com/sites/default/files/asahikasei_new-logo.png, ,https://www.concur.com/en-us/casestudy/asahi-kasei-plastics, , , , ,150,"Fowlerville, MI",ExpenseIt, , , , , 
casestudy_taxaudit,taxaudit,casestudy, ,https://www.concur.com/sites/default/files/taxaudit-logo.png, ,https://www.concur.com/en-us/casestudy/taxaudit, , , , ,200,"Folsom, CA",Concur Travel, , , , , 
casestudy_ibm,ibm,casestudy, ,https://www.concur.com/sites/default/files/ibm_png19658.png, ,https://www.concur.com/en-us/casestudy/ibm, , , , ,400000,New York,Concur Expense, , , , , 
casestudy_national-mortgage-insurance,national-mortgage-insurance,casestudy, ,https://www.concur.com/sites/default/files/national-mi-header-logo.png, ,https://www.concur.com/en-us/casestudy/national-mortgage-insurance, , , , ,95,"Emeryville, CA",Intelligence, , , , , 
casestudy_trilantic,trilantic,casestudy, ,https://www.concur.com/sites/default/files/trilantic-capital-partners-logo.jpg, ,https://www.concur.com/en-us/casestudy/trilantic, , , , ,35,New York,Concur Invoice, , , , , 
casestudy_code42-software,code42-software,casestudy, ,https://www.concur.com/sites/default/files/code42logo.png, ,https://www.concur.com/en-us/casestudy/code42-software, , , , ,180,Minnesota,Concur Expense, , , , , 
casestudy_recordati-rare-diseases,recordati-rare-diseases,casestudy, ,https://www.concur.com/sites/default/files/recordati.png, ,https://www.concur.com/en-us/casestudy/recordati-rare-diseases, , , , ,50,New Jersey,Concur Invoice, , , , , 
casestudy_nuvasive-1,nuvasive-1,casestudy, ,https://www.concur.com/sites/default/files/nuvasive_logo_jpg-1_002.jpg, ,https://www.concur.com/en-us/casestudy/nuvasive-1, , , , ,2401,"San Diego, California",Concur Expense, , , , , 
casestudy_us-sailing,us-sailing,casestudy, ,https://www.concur.com/sites/default/files/us_sailing_logo.png, ,https://www.concur.com/en-us/casestudy/us-sailing, , , , ,"7,500","Bristol, Rhode Island",Concur Travel, , , , , 
casestudy_rabobank,rabobank,casestudy, ,https://www.concur.com/sites/default/files/rabobank.gif, ,https://www.concur.com/en-us/casestudy/rabobank, , , , ,"45,000","Utrecht, The Netherlands",Concur Expense, , , , , 
casestudy_mead-johnson-nutrition,mead-johnson-nutrition,casestudy, ,https://www.concur.com/sites/default/files/logo-mead-johnson-nutrition.png, ,https://www.concur.com/en-us/casestudy/mead-johnson-nutrition, , , , ,"7,500","Chicago, Illinois",Concur Expense, , , , , 
casestudy_cardinal-health,cardinal-health,casestudy, ,https://www.concur.com/sites/default/files/1200px-cardinal_health_logo.svg_.png, ,https://www.concur.com/en-us/casestudy/cardinal-health, , , , ,"50,000","Dublin, Ohio",Concur Expense, , , , , 
casestudy_state-accounting-office,state-accounting-office,casestudy, ,https://www.concur.com/sites/default/files/281962_processes_r_blue.png, ,https://www.concur.com/en-us/casestudy/state-accounting-office, , , , ,"70,000",Not Found,Concur Travel, , , , , 
casestudy_kipp-bay-area-schools,kipp-bay-area-schools,casestudy, ,https://www.concur.com/sites/default/files/kipp-logo_blue.png, ,https://www.concur.com/en-us/casestudy/kipp-bay-area-schools, , , , ,300,"Oakland, CA",Concur Expense, , , , , 
casestudy_recordati,recordati,casestudy, ,https://www.concur.com/sites/default/files/01_recordati_rare_diseases_mainlogo.jpeg, ,https://www.concur.com/en-us/casestudy/recordati, , , , ,30,"Lebanon, NJ",Concur Invoice, , , , , 
casestudy_university-oklahoma,university-oklahoma,casestudy, ,https://www.concur.com/sites/default/files/logo_big_crimson.gif, ,https://www.concur.com/en-us/casestudy/university-oklahoma, , , , ,"3,000",Oklahoma,Concur Travel, , , , , 
casestudy_sap-runs-sap-concur,sap-runs-sap-concur,casestudy, ,https://www.concur.com/sites/default/files/2000px-sap_2011_logo.svg_.png, ,https://www.concur.com/en-us/casestudy/sap-runs-sap-concur, , , , ,91000,Germany,Concur Travel, , , , , 
casestudy_merz,merz,casestudy, ,https://www.concur.com/sites/default/files/merz_logo.png, ,https://www.concur.com/en-us/casestudy/merz, , , , ,"3,000","Raleigh, NC",Concur Expense, , , , , 
casestudy_illinois-tool-works,illinois-tool-works,casestudy, ,https://www.concur.com/sites/default/files/itw-logo.png, ,https://www.concur.com/en-us/casestudy/illinois-tool-works, , , , ,45001,"Glenview, Illinois",Concur Expense, , , , , 
casestudy_cloudera,cloudera,casestudy, ,https://www.concur.com/sites/default/files/cloudera-logo.png, ,https://www.concur.com/en-us/casestudy/cloudera, , , , ,"1,300","Palo Alto, CA",Audit Elite, , , , , 
casestudy_louisiana-pacific,louisiana-pacific,casestudy, ,https://www.concur.com/sites/default/files/2000px-louisiana-pacific_corporation_logo.svg_.png, ,https://www.concur.com/en-us/casestudy/louisiana-pacific, , , , ,"4,800","Nashville, Tennesse",Concur Travel, , , , , 
casestudy_jamf,jamf,casestudy, ,https://www.concur.com/sites/default/files/jamflogo.jpg, ,https://www.concur.com/en-us/casestudy/jamf, , , , ,600,"Minneapolis, Minnesota",Concur Travel, , , , , 
casestudy_insite-software,insite-software,casestudy, ,https://www.concur.com/sites/default/files/logo_0.png, ,https://www.concur.com/en-us/casestudy/insite-software, , , , ,115,"Minneapolis, MN",Concur Travel, , , , , 
casestudy_booz-allen-hamilton,booz-allen-hamilton,casestudy, ,https://www.concur.com/sites/default/files/boozallen.jpg, ,https://www.concur.com/en-us/casestudy/booz-allen-hamilton, , , , ,"22,600","McLean, Virginia",Concur Travel, , , , , 
casestudy_code42,code42,casestudy, ,https://www.concur.com/sites/default/files/code42_logo_1200x630_no_tag_0.jpg, ,https://www.concur.com/en-us/casestudy/code42, , , , ,400,"Minneapolis, MN",Concur Expense, , , , , 
casestudy_atlanta-convention-visitors-bureau,atlanta-convention-visitors-bureau,casestudy, ,https://www.concur.com/sites/default/files/atlanta_r204_official.jpg1_.png, ,https://www.concur.com/en-us/casestudy/atlanta-convention-visitors-bureau, , , , ,85,"Atlanta, GA",Concur Expense, , , , , 
casestudy_eaton-corporation,eaton-corporation,casestudy, ,https://www.concur.com/sites/default/files/eaton_logo_0.png, ,https://www.concur.com/en-us/casestudy/eaton-corporation, , , , ,"59,000",Global,Concur Travel, , , , , 
casestudy_mcknight-foundation,mcknight-foundation,casestudy, ,https://www.concur.com/sites/default/files/mck_logostack_0.png, ,https://www.concur.com/en-us/casestudy/mcknight-foundation, , , , ,50,"Minneapolis, MN",Concur Travel, , , , , 
casestudy_pmi,pmi,casestudy, ,https://www.concur.com/sites/default/files/pmi-logo.png, ,https://www.concur.com/en-us/casestudy/pmi, , , , ,450,California,Concur Travel, , , , , 
casestudy_cengage-learning,cengage-learning,casestudy, ,https://www.concur.com/sites/default/files/cengage-logo.png, ,https://www.concur.com/en-us/casestudy/cengage-learning, , , , ,"6,000",Kentucky,Concur Travel, , , , , 
casestudy_naes,naes,casestudy, ,https://www.concur.com/sites/default/files/naes-logo_0.png, ,https://www.concur.com/en-us/casestudy/naes, , , , ,"1,800",Washington,Concur Travel, , , , , 
casestudy_gardner-denver,gardner-denver,casestudy, ,https://www.concur.com/sites/default/files/gardner-denver-logo.png, ,https://www.concur.com/en-us/casestudy/gardner-denver, , , , ,"6,500",Global,Concur Travel, , , , , 
casestudy_dornier-medtech,dornier-medtech,casestudy, ,https://www.concur.com/sites/default/files/rt-logo_dornier_medtech.png, ,https://www.concur.com/en-us/casestudy/dornier-medtech, , , , ,120,"Keenesaw, GA",Concur Expense, , , , , 
casestudy_ericsson,ericsson,casestudy, ,https://www.concur.com/sites/default/files/2000px-ericsson_logo.svg_.png, ,https://www.concur.com/en-us/casestudy/ericsson, , , , ,"75,000",Sweden,Concur Expense, , , , , 
casestudy_cable-wireless,cable-wireless,casestudy, ,https://www.concur.com/sites/default/files/cable-wireless-communications-logo_0.jpg, ,https://www.concur.com/en-us/casestudy/cable-wireless, , , , ,"12,000",United Kingdom,Concur Expense, , , , , 
casestudy_center-for-community-self-help,center-for-community-self-help,casestudy, ,https://www.concur.com/sites/default/files/selfhelp_0.png, ,https://www.concur.com/en-us/casestudy/center-for-community-self-help, , , , ,500,"Durham, North Carolina",Concur Travel, , , , , 
